s_no,registration_no,certificate_s_no,category_of_variety,denomination_of_the_candidate_variety,crop,crop_group,name_of_applicant,applicant_category,date_of_filling,application_no,date_of_certificate_issue,maximum_protection_period_up_to,provisional_protection_claim
119,119 of 2009,119,New,W 6301,Wheat,Cereals,Maharashtra Hybrid Seeds Company Limited,Private,21-May-2007,CN2 TA02 07 023,21 December 2009,20 December 2024,21-May-2007  to 21-Dec-2009
120,120 of 2009,120,Farmer,Tilak Chandan,Rice,Cereals,Mr. Dev Nath Verma,Farmer,10-Jul-2007,F01 OS34 07 126,21 December 2009,20 December 2024,10-Jul-2007  to 21-Dec-2009
121,121 of 2009,121,Farmer,INDRASAN,Rice,Cereals,Mr. Indrasan Singh,Farmer,10-Mar-2008,F02 OS75 08 201,21 December 2009,20 December 2024,10-Mar-2008  to 21-Dec-2009
122,122 of 2009,122,Farmer,HANSRAJ,Rice,Cereals,Mr. Arun Kumar,Farmer,28-Aug-2007,F02 OS41 07 139,21 December 2009,20 December 2024,28-Aug-2007  to 21-Dec-2009
123,123 of 2009,123,Extant,Pant Urd-40,Black Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E04 VM04 07 146,21 December 2009,09 January 2023,05-Nov-2007  to 21-Dec-2009
124,124 of 2009,124,Extant,Kashi Udai (VR-6),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E10 PS10 07 198,21 December 2009,24 April 2021,06-Nov-2007  to 21-Dec-2009
125,125 of 2009,125,Extant,AMBER (IIPR 96-4),Kidney Bean,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E01 PV01 07 158,21 December 2009,03 September 2017,05-Nov-2007  to 21-Dec-2009
126,126 of 2009,126,Extant,Pusa Composite-4 (Composite 8551),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Dec-2007,E40 ZM63 07 387,21 December 2009,04 November 2020,06-Dec-2007  to 21-Dec-2009
127,127 of 2009,127,Extant,D-994,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,27-Nov-2007,E32 ZM55 07 343,21 December 2009,30 May 2019,27-Nov-2007  to 21-Dec-2009
128,128 of 2009,128,Extant,Pusa Early Hybrid Makka-3 (AH-58),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Dec-2007,E38 ZM61 07 385,21 December 2009,01 February 2016,06-Dec-2007  to 21-Dec-2009
129,129 of 2009,129,Extant,Pusa Extra Early Hybrid Makka-5 (AH-421),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Dec-2007,E39 ZM61 07 386,21 December 2009,03 February 2019,06-Dec-2007  to 21-Dec-2009
130,130 of 2009,130,Extant,Gujarat Makai-6,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,20-Nov-2007,E28 ZM51 07 338,21 December 2009,11 March 2018,20-Nov-2007  to 21-Dec-2009
131,131 of 2009,131,Extant,Gujarat Makai-3,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,20-Nov-2007,E27 ZM50 07 337,21 December 2009,03 September 2017,20-Nov-2007  to 21-Dec-2009
132,132 of 2009,132,Extant,CSH-22SS (NSSH-104),Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,3-Jan-2008,E68 SB32 08 78,21 December 2009,04 November 2020,03-Jan-2008  to 21-Dec-2009
133,133 of 2009,133,Extant,CSH-20-MF (UPMCH-1101),Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,3-Jan-2008,E59 SB22 08 68,21 December 2009,24 August 2020,03-Jan-2008  to 21-Dec-2009
134,134 of 2009,134,Extant,HD 2851 (Pusa Vishesh),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,15-Jul-2008,E298 TA31 08 408,21 December 2009,04 November 2020,15-Jul-2008  to 21-Dec-2009
135,135 of 2009,135,Extant,Raj -3777,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Jul-2008,E280 TA15 08 390,21 December 2009,11 March 2018,01-Jul-2008  to 21-Dec-2009
136,136 of 2009,136,Extant,UP-2526,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Jul-2008,E281 TA16 08 391,21 December 2009,05 February 2022,01-Jul-2008  to 21-Dec-2009
137,137 of 2009,137,Extant,Mandakini (K-9351),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Apr-2008,E248 TA02 08 354,21 December 2009,19 September 2021,07-Apr-2008  to 21-Dec-2009
138,138 of 2009,138,Extant,UP-2554,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,15-Jul-2008,E293 TA26 08 403,21 December 2009,05 February 2022,15-Jul-2008  to 21-Dec-2009
139,139 of 2009,139,Extant,UP-2572,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,15-Jul-2008,E299 TA32 08 409,21 December 2009,05 February 2022,15-Jul-2008  to 21-Dec-2009
140,140 of 2009,140,Extant,K-9423 (Unnat Halna),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Apr-2008,E252 TA06 08 358,21 December 2009,04 November 2020,07-Apr-2008  to 21-Dec-2009
141,141 of 2009,141,Extant,COW (W) 1,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,15-Jul-2008,E292 TA25 08 402,21 December 2009,24 April 2021,15-Jul-2008  to 21-Dec-2009
142,142 of 2009,142,Extant,Naina (K-9533),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Jul-2008,E274 TA09 08 384,21 December 2009,19 September 2021,01-Jul-2008  to 21-Dec-2009
143,143 of 2009,143,Extant,PMH-1 (JH-10655),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E36 ZM4 08 43,21 December 2009,05 February 2022,02-Jan-2008  to 21-Dec-2009
144,144 of 2009,144,Extant,RSSV-9 (CSV-19SS),Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Jan-2008,E14 SB2 08 15,21 December 2009,24 August 2020,01-Jan-2008  to 21-Dec-2009
145,145 of 2009,145,Extant,Shalimar KG Maize-2,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E41 ZM10 08 49,21 December 2009,24 August 2020,02-Jan-2008  to 21-Dec-2009
146,146 of 2009,146,Extant,Pusa Composite-3 (Composite-85134),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Dec-2007,E37 ZM60 07 384,21 December 2009,04 November 2020,06-Dec-2007  to 21-Dec-2009
147,147 of 2009,147,Extant,VICH-5,Tetraploid Cotton,Fibre Crops,Vikram Seeds Limited,Private,3-Apr-2008,E229 GH92 08 325,21 December 2009,03 September 2017,03-Apr-2008  to 21-Dec-2009
148,148 of 2009,148,Extant,AJEET-33 (AHH-90-2),Tetraploid Cotton,Fibre Crops,Ajeet Seeds Limited,Private,8-Aug-2008,E308 GH130 08 426,21 December 2009,19 September 2021,08-Aug-2008  to 21-Dec-2009
149,149 of 2009,149,Extant,Ajeet-11 (AHH-90-1),Tetraploid Cotton,Fibre Crops,Ajeet Seeds Limited,Private,8-Aug-2008,E307 GH129 08 425,21 December 2009,19 September 2021,08-Aug-2008  to 21-Dec-2009
150,150 of 2009,150,Extant,Ujiyar (K9006),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,15-Jul-2008,E295 TA28 08 405,21 December 2009,14 May 2013,15-Jul-2008  to 21-Dec-2009
151,151 of 2009,151,Extant,Halna (K 7903),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,14-Oct-2008,E338 TA39 08 474,21 December 2009,01 February 2016,14-Oct-2008  to 21-Dec-2009
152,152 of 2009,152,Extant,Gangotri (K-9162),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Jul-2008,E283 TA18 08 393,21 December 2009,01 February 2016,01-Jul-2008  to 21-Dec-2009
153,153 of 2009,153,Extant,Prasad (K 8434),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Jul-2008,E277 TA12 08 387,21 December 2009,01 February 2016,01-Jul-2008  to 21-Dec-2009
154,154 of 2009,154,Extant,HP 1761,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E45 TA48 07 290,21 December 2009,08 September 2012,07-Nov-2007  to 21-Dec-2009
155,155 of 2009,155,Extant,GW 273,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Apr-2008,E250 TA04 08 356,21 December 2009,14 May 2013,07-Apr-2008  to 21-Dec-2009
156,156 of 2009,156,Extant,UP-2338,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,15-Jul-2008,E294 TA27 08 404,21 December 2009,03 May 2010,15-Jul-2008  to 21-Dec-2009
157,157 of 2009,157,Extant,Gomti (K 9465),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Apr-2008,E251 TA05 08 357,21 December 2009,14 May 2013,07-Apr-2008  to 21-Dec-2009
158,158 of 2009,158,Extant,K-9644,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,3-Jul-2008,E286 TA21 08 396,21 December 2009,02 April 2015,03-Jul-2008  to 21-Dec-2009
159,159 of 2009,159,Extant,K-8962,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,3-Jul-2008,E287 TA22 08 397,21 December 2009,31 December 2010,03-Jul-2008  to 21-Dec-2009
160,160 of 2009,160,Extant,Gujarat Makai-4,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,20-Nov-2007,E29 ZM52 07 339,21 December 2009,01 February 2016,20-Nov-2007  to 21-Dec-2009
161,161 of 2009,161,Extant,GICK V-96752 (MP 363),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E40 PG49 07 223,21 December 2009,01 February 2016,06-Nov-2007  to 21-Dec-2009
162,162 of 2009,162,Extant,Gaurav (D-931),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,20-Nov-2007,E31 ZM54 07 341,21 December 2009,07 June 2014,20-Nov-2007  to 21-Dec-2009
163,163 of 2009,163,Extant,Pant Chari-5 (UPFS-32),Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,3-Jan-2008,E73 SB38 08 84,21 December 2009,25 October 2014,03-Jan-2008  to 21-Dec-2009
164,164 of 2009,164,Extant,C.14,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E44 ZM68 07 401,21 December 2009,31 December 2010,26-Dec-2007  to 21-Dec-2009
165,165 of 2009,165,Extant,K-9107,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Jul-2008,E272 TA7 08 382,21 December 2009,31 December 2010,01-Jul-2008  to 21-Dec-2009
166,166 of 2009,166,Extant,AKW 1071 (Purna),Wheat,Cereals,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Public,7-Jan-2009,E1 TA2 09 6,21 December 2009,03 May 2010,07-Jan-2009  to 21-Dec-2009
167,167 of 2009,167,Extant,VICH-9,Tetraploid Cotton,Fibre Crops,Vikram Seeds Limited,Private,3-Apr-2008,E227 GH90 08 323,21 December 2009,12 September 2015,03-Apr-2008  to 21-Dec-2009
168,168 of 2009,168,Extant,Ankur-651,Tetraploid Cotton,Fibre Crops,Ankur Seeds Pvt. Ltd.,Private,2-Apr-2008,E200 GH14 08 239,21 December 2009,31 December 2010,02-Apr-2008  to 21-Dec-2009
169,1 of 2010,169,Extant,ML 818,Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E13 VR13 07 173,20 October 2010,19 July 2022,05-Nov-2007  to 20-Oct-2010
170,2 of 2010,170,Extant,HM-4,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,15-Nov-2007,E21 ZM43 07 316,20 October 2010,24 August 2020,15-Nov-2007  to 20-Oct-2010
171,3 of 2010,171,Extant,HQPM-1,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,15-Nov-2007,E23 ZM46 07 319,20 October 2010,24 August 2020,15-Nov-2007  to 20-Oct-2010
172,4 of 2010,172,Extant,Narmada Moti (IC- 9001),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,20-Nov-2007,E30 ZM53 07 340,20 October 2010,03 September 2017,20-Nov-2007  to 20-Oct-2010
173,5 of 2010,173,Extant,Vivek Maize Hybrid-27 (FH 3288),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,27-Nov-2007,E33 ZM56 07 344,20 October 2010,04 October 2022,27-Nov-2007  to 20-Oct-2010
174,6 of 2010,174,Extant,Vivek Maize Hybrid-25 (FH 3248),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,27-Nov-2007,E34 ZM57 07 345,20 October 2010,04 October 2022,27-Nov-2007  to 20-Oct-2010
175,7 of 2010,175,Extant,Amar (D-941),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,27-Nov-2007,E36 ZM59 07 347,20 October 2010,01 February 2016,27-Nov-2007  to 20-Oct-2010
176,8 of 2010,176,Extant,HHM-2 (HKH-1071),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E45 ZM69 07 402,20 October 2010,02 April 2015,26-Dec-2007  to 20-Oct-2010
177,9 of 2010,177,Extant,Vivek Maize Hybrid-9 (FH-3077),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E46 ZM70 07 403,20 October 2010,01 February 2016,26-Dec-2007  to 20-Oct-2010
178,10 of 2010,178,Extant,COH(M)-4,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E48 ZM72 07 405,20 October 2010,24 August 2020,26-Dec-2007  to 20-Oct-2010
179,11 of 2010,179,Extant,Vivek Hybrid-4 (FH-3049),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E49 ZM73 07 406,20 October 2010,07 June 2014,26-Dec-2007  to 20-Oct-2010
180,12 of 2010,180,Extant,Him 129 (EHF 1121),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E51 ZM75 07 408,20 October 2010,08 September 2012,26-Dec-2007  to 20-Oct-2010
181,13 of 2010,181,Extant,Pusa Early Hybrid Makka-2 (EH 203492),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E52 ZM76 07 409,20 October 2010,16 September 2012,26-Dec-2007  to 20-Oct-2010
182,14 of 2010,182,Extant,COH (M) 5,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E54 ZM78 07 411,20 October 2010,19 July 2022,26-Dec-2007  to 20-Oct-2010
183,15 of 2010,183,Extant,Vivek Hybrid-5,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E55 ZM79 07 412,20 October 2010,01 February 2016,26-Dec-2007  to 20-Oct-2010
184,16 of 2010,184,Extant,Vivek Maize Hybrid -17 (FH-3186),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E56 ZM80 07 413,20 October 2010,01 February 2020,26-Dec-2007  to 20-Oct-2010
185,17 of 2010,185,Extant,DMH-2,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E59 ZM83 07 416,20 October 2010,03 September 2017,26-Dec-2007  to 20-Oct-2010
186,18 of 2010,186,Extant,COBC 1,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E61 ZM85 07 418,20 October 2010,07 June 2014,26-Dec-2007  to 20-Oct-2010
187,19 of 2010,187,Extant,VLBaby Corn-1 (VL-78),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E62 ZM86 07 419,20 October 2010,01 February 2020,26-Dec-2007  to 20-Oct-2010
188,20 of 2010,188,Extant,Sakthiman-2,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,27-Dec-2007,E63 ZM87 07 420,20 October 2010,03 February 2019,27-Dec-2007  to 20-Oct-2010
189,21 of 2010,189,Extant,Win Orange Sweet Corn,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,27-Dec-2007,E64 ZM88 07 421,20 October 2010,01 February 2020,27-Dec-2007  to 20-Oct-2010
190,22 of 2010,190,Extant,Priya Sweetcorn,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,27-Dec-2007,E65 ZM89 07 422,20 October 2010,03 September 2017,27-Dec-2007  to 20-Oct-2010
191,23 of 2010,191,Extant,Shalimar KG Maize-1,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,27-Dec-2007,E67 ZM91 07 424,20 October 2010,24 August 2020,27-Dec-2007  to 20-Oct-2010
192,24 of 2010,192,Extant,Shaktiman-1,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,27-Dec-2007,E70 ZM94 07 428,20 October 2010,14 November 2016,27-Dec-2007  to 20-Oct-2010
193,25 of 2010,193,Extant,VL Masoor-103,Lentil,Legumes,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E16 LC1 08 19,20 October 2010,12 September 2015,02-Jan-2008  to 20-Oct-2010
194,26 of 2010,194,Extant,VL Masoor-507 (VL-507),Lentil,Legumes,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E17 LC2 08 20,20 October 2010,24 April 2021,02-Jan-2008  to 20-Oct-2010
195,27 of 2010,195,Extant,Ambika (IM-9102),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E18 PS1 08 22,20 October 2010,01 February 2016,02-Jan-2008  to 20-Oct-2010
196,28 of 2010,196,Extant,Swati (KFPD-24),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E19 PS2 08 23,20 October 2010,07 June 2014,02-Jan-2008  to 20-Oct-2010
197,29 of 2010,197,Extant,Shubhra (IM-9101),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E22 PS4 08 26,20 October 2010,14 November 2016,02-Jan-2008  to 20-Oct-2010
198,30 of 2010,198,Extant,Pant pea-14 (Pant P-14),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E23 PS5 08 28,20 October 2010,24 April 2021,02-Jan-2008  to 20-Oct-2010
199,31 of 2010,199,Extant,Shekhar-3 (KU-309),Black Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E25 VM2 08 30,20 October 2010,03 February 2019,02-Jan-2008  to 20-Oct-2010
200,32 of 2010,200,Extant,VL Matar-42 (VL-42),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E26 PS7 08 33,20 October 2010,05 February 2022,02-Jan-2008  to 20-Oct-2010
201,33 of 2010,201,Extant,Shalimar Moong-1,Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E28 VR3 08 35,20 October 2010,24 August 2020,02-Jan-2008  to 20-Oct-2010
202,34 of 2010,202,Extant,Shalimar Masoor-1,Lentil,Legumes,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E30 LC6 08 37,20 October 2010,24 August 2020,02-Jan-2008  to 20-Oct-2010
203,35 of 2010,203,Extant,Shalimar Rajmash-01,Kidney Bean,Legumes,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E32 PV2 08 39,20 October 2010,24 August 2020,02-Jan-2008  to 20-Oct-2010
204,36 of 2010,204,Extant,Shaktiman-3,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E39 ZM8 08 47,20 October 2010,19 September 2021,02-Jan-2008  to 20-Oct-2010
205,37 of 2010,205,Extant,Shaktiman-4,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E40 ZM9 08 48,20 October 2010,19 September 2021,02-Jan-2008  to 20-Oct-2010
206,38 of 2010,206,Extant,Haryana Chari-308,Sorghum,Cereals,Indian Council of Agricultural Research (ICAR),Public,3-Jan-2008,E62 SB26 08 72,20 October 2010,31 December 2010,03-Jan-2008  to 20-Oct-2010
207,39 of 2010,207,Extant,Arka Suvidha (IIHR-909),Kidney Bean,Legumes,Indian Council of Agricultural Research (ICAR),Public,7-Jan-2008,E78 PV5 08 90,20 October 2010,27 November 2021,07-Jan-2008  to 20-Oct-2010
208,40 of 2010,208,Extant,Arka Ajit (FC-1),Field Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,7-Jan-2008,E79 PS10 08 91,20 October 2010,27 November 2021,07-Jan-2008  to 20-Oct-2010
209,41 of 2010,209,Extant,Pusa-547 (BGM-547),Chickpea,Legumes,Indian Council of Agricultural Research (ICAR),Public,17-Jan-2008,E134 CA5 08 147,20 October 2010,19 September 2021,17-Jan-2008  to 20-Oct-2010
210,42 of 2010,210,Extant,Jagabandhu (OR 1206-25-1) (IET 14100),Rice,Cereals,Orissa University of Agriculture & Technology,Public,31-Jan-2008,E154 OS61 08 176,20 October 2010,03 September 2017,31-Jan-2008  to 20-Oct-2010
211,43 of 2010,211,Extant,Prachi (IET-12786),Rice,Cereals,Orissa University of Agriculture & Technology,Public,31-Jan-2008,E155 OS62 08 177,20 October 2010,12 October 2014,31-Jan-2008  to 20-Oct-2010
212,44 of 2010,212,Extant,Ramachandi (IET-13354),Rice,Cereals,Orissa University of Agriculture & Technology,Public,31-Jan-2008,E156 OS63 08 178,20 October 2010,12 October 2014,31-Jan-2008  to 20-Oct-2010
213,45 of 2010,213,Extant,Mahanadi (IET-13356),Rice,Cereals,Orissa University of Agriculture & Technology,Public,31-Jan-2008,E157 OS64 08 179,20 October 2010,12 October 2014,31-Jan-2008  to 20-Oct-2010
214,46 of 2010,214,Extant,Indrabati (IET-13396),Rice,Cereals,Orissa University of Agriculture & Technology,Public,31-Jan-2008,E158 OS 65 08 180,20 October 2010,12 October 2014,31-Jan-2008  to 20-Oct-2010
215,47 of 2010,215,Extant,Sumangala (CWROK-165),Tetraploid Cotton,Fibre Crops,Indian Council of Agricultural Research (ICAR),Public,11-Nov-2008,E355 GH156 08 493,20 October 2010,01 February 2016,11-Nov-2008  to 20-Oct-2010
216,48 of 2010,216,Extant,Surabhi (VRS-7),Tetraploid Cotton,Fibre Crops,Indian Council of Agricultural Research (ICAR),Public,11-Nov-2008,E358 GH160 08 498,20 October 2010,30 April 2012,11-Nov-2008  to 20-Oct-2010
217,49 of 2010,217,Extant,Tarm-18,Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,27-Nov-2008,E364 VR6 08 506,20 October 2010,30 April 2012,27-Nov-2008  to 20-Oct-2010
218,1 of 2011,218,Extant,Kaushambi (HM-2045),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E24 TA27 07 269,07 March 2011,03 September 2017,07-Nov-2007  to 07-Mar-2011
219,2 of 2011,219,Extant,NIAW-301 (Trimbak),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E28 TA31 07 273,07 March 2011,03 September 2017,07-Nov-2007  to 07-Mar-2011
220,3 of 2011,220,Extant,Amar (HW 2004),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E42 TA45 07 287,07 March 2011,30 April 2012,07-Nov-2007  to 07-Mar-2011
221,4 of 2011,221,Extant,Bhavani (HW-1085),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E43 TA46 07 288,07 March 2011,14 May 2013,07-Nov-2007  to 07-Mar-2011
